MOOTMISE_AEG;MOODETUD_TUHIKAIK_PM;MOODETUD_POORETEL_PM;MOODETUD_TUHIKAIK_CO;MOODETUD_POORETEL_CO;MOODETUD_POORETEL_CO_CORR;MOODETUD_TUHIKAIK_HC;MOODETUD_POORETEL_HC;MOODETUD_TUHIKAIK_CO2;MOODETUD_POORETEL_CO2;MOODETUD_TUHIKAIK_O2;MOODETUD_POORETEL_O2;MOODETUD_POORETEL_LAMBDA;MOODETUD_SUITSUSUS;POORETE_TOSTMISE_AEG;TYHIKAIGU_POORDED;MAX_POORDED
02.08.2018 9:55:00;716;2511;0,01;0,01;;11;12;1,51;1,53;2,27;0,17;1,007;;;;
02.08.2018 10:06:00;;;;;;;;;;;;;0,04;0,99;680;3900
02.08.2018 10:08:00;;;;;;;;;;;;;0,26;0,91;850;4960
02.08.2018 10:17:00;;;;;;;;;;;;;1,5;1,41;820;5090
02.08.2018 10:35:00;;;;;;;;;;;;;0,26;1,19;800;4700
02.08.2018 10:48:00;;;;;;;;;;;;;0,76;1,2;900;4680
02.08.2018 11:00:00;700;2740;0,01;0,01;;0;0;1,51;1,52;0,17;0,07;1,003;;;;
02.08.2018 11:05:00;;;;;;;;;;;;;0,03;0,82;760;3010
02.08.2018 11:28:00;680;2280;0,01;0,01;;1;1;1,51;1,52;0,08;0,04;1,001;;;;
02.08.2018 11:28:00;;;;;;;;;;;;;0,62;1,19;710;4980
02.08.2018 11:38:00;758;2587;0,01;0,01;;7;6;1,52;1,53;0,11;0,08;1,003;;;;
02.08.2018 11:42:00;800;2450;0,01;0,01;;5;3;1,47;1,51;1,11;0,25;1,011;;;;
02.08.2018 12:04:00;770;2170;0,01;0,05;;1;1;1,47;1,49;0,44;0,22;1,008;;;;
02.08.2018 12:29:00;;;;;;;;;;;;;1,39;1,19;780;4880
02.08.2018 12:32:00;;;;;;;;;;;;;0,03;1,3;820;5040
02.08.2018 12:47:00;753;2734;0,01;0,01;;2;1;1,51;1,51;0,1;0,06;1,002;;;;
02.08.2018 12:53:00;671;2561;0,02;0,02;;10;11;1,49;1,53;1,01;0,29;1,012;;;;
02.08.2018 13:06:00;;;;;;;;;;;;;0,02;0,96;700;4820
02.08.2018 13:16:00;871;2482;0,01;0,01;;6;6;1,53;1,54;0,12;0,07;1,002;;;;
02.08.2018 13:17:00;;;;;;;;;;;;;0,06;1,21;860;5080
02.08.2018 13:26:00;;;;;;;;;;;;;0,02;1,26;800;3760
02.08.2018 13:35:00;;;;;;;;;;;;;0,65;1,13;860;5040
02.08.2018 13:48:00;800;2970;0,04;0,1;;1;1;1,5;1,51;0,24;0,1;1,001;;;;
02.08.2018 13:52:00;;;;;;;;;;;;;0,02;0,69;860;2460
02.08.2018 14:08:00;;;;;;;;;;;;;0,02;1,15;780;3910
02.08.2018 14:38:00;790;2330;0,01;0,09;;9;14;1,55;1,54;0,06;0,08;1;;;;
02.08.2018 14:45:00;700;2400;0,01;0,02;;10;11;1,48;1,51;2,33;0,46;1,02;;;;
02.08.2018 14:52:00;;;;;;;;;;;;;0,02;1,7;700;4540
02.08.2018 14:54:00;;;;;;;;;;;;;0,48;1,25;950;4460
02.08.2018 15:08:00;800;2538;0,04;0,04;;7;7;1,53;1,53;0,08;0,06;1,001;;;;
02.08.2018 15:13:00;750;2350;0,01;0,02;;12;12;1,55;1,55;0,08;0,08;1,002;;;;
02.08.2018 15:21:00;697;2129;0,01;0,02;;8;8;1,5;1,54;0,56;0,16;1,006;;;;
02.08.2018 15:30:00;700;2325;0,02;0,02;;10;9;1,55;1,55;0,08;0,05;1,001;;;;
02.08.2018 15:37:00;725;2117;0,01;0,01;;7;7;1,53;1,52;0,08;0,13;1,005;;;;
02.08.2018 15:43:00;810;2510;0,01;0,01;;8;8;1,52;1,55;0,57;0,1;1,003;;;;
02.08.2018 15:59:00;753;2672;0,01;0,01;;7;8;1,53;1,54;0,11;0,09;1,003;;;;
02.08.2018 16:26:00;655;2269;0,01;0,01;;4;4;1,56;1,53;0,27;0,11;1,004;;;;
02.08.2018 16:51:00;780;2310;0,01;0,01;;28;29;1,36;1,37;0,2;0,16;1,006;;;;
02.08.2018 17:11:00;;;;;;;;;;;;;1,94;1,46;750;5170
02.08.2018 17:34:00;731;2996;0,01;0,01;;7;6;1,55;1,55;0,06;0,04;1,001;;;;
02.08.2018 17:49:00;;;;;;;;;;;;;1,5;1,55;800;5130
02.08.2018 17:56:00;677;2664;0,03;0,03;;17;15;1,47;1,53;0,32;0,19;1,007;;;;
02.08.2018 18:18:00;909;2740;0,02;0,02;;7;7;1,54;1,53;0,09;0,06;1,001;;;;
02.08.2018 18:33:00;;;;;;;;;;;;;5,57;1,12;750;5610
02.08.2018 18:33:00;;;;;;;;;;;;;4,53;1,35;750;5610
02.08.2018 18:33:00;;;;;;;;;;;;;4,74;1,08;750;5500
02.08.2018 18:44:00;;;;;;;;;;;;;0,01;2,01;790;5100
02.08.2018 18:50:00;750;2680;0,02;0,02;;7;8;1,54;1,54;0,11;0,09;1,003;;;;
02.08.2018 19:07:00;;;;;;;;;;;;;2,5;0,88;830;4760
02.08.2018 19:15:00;;;;;;;;;;;;;1,67;1,38;750;4630
02.08.2018 19:32:00;650;2740;0,08;0,02;;41;12;1,5;1,5;0,16;0,08;1,002;;;;
02.08.2018 19:41:00;795;2258;0,01;0,01;;1;1;1,5;1,5;0,28;0,11;1,004;;;;
02.08.2018 20:03:00;;;;;;;;;;;;;0,1;1,19;680;3950
02.08.2018 20:11:00;;;;;;;;;;;;;0,06;1,04;780;3980
02.08.2018 20:40:00;;;;;;;;;;;;;0,09;0,97;680;4060
02.08.2018 20:43:00;;;;;;;;;;;;;0,02;0,46;850;2490
03.08.2018 9:06:00;1020;2590;0,11;0,01;;9;1;1,32;1,43;2;1,39;1,068;;;;
03.08.2018 9:06:00;750;2530;0,02;0,02;;10;13;1,49;1,54;0,54;0,1;1,003;;;;
03.08.2018 10:03:00;1170;2970;0,12;0,14;;13;25;1,51;1,5;0,3;0,32;1,009;;;;
03.08.2018 10:12:00;770;2740;0,01;0,1;;1;2;1,42;1,51;1,74;0,38;1,014;;;;
03.08.2018 10:12:00;786;2611;0,02;0,02;;13;12;1,49;1,49;0,5;0,25;1,01;;;;
03.08.2018 10:23:00;658;2333;0,01;0,01;;1;1;1,54;1,54;0,18;0,16;1,006;;;;
03.08.2018 10:47:00;;;;;;;;;;;;;1,28;1,98;750;4720
03.08.2018 10:56:00;761;2446;0,01;0,02;;0;0;1,5;1,51;1,52;0,14;1,006;;;;
03.08.2018 11:04:00;639;2371;0,01;0,01;;6;4;1,49;1,51;0,58;0,24;1,01;;;;
03.08.2018 11:17:00;736;2776;0,01;0,01;;2;2;1,5;1,54;0,59;0,2;1,008;;;;
03.08.2018 11:24:00;654;2312;0,09;0,06;;22;21;1,5;1,52;0,78;0,5;1,02;;;;
03.08.2018 11:39:00;750;2460;0,04;0,04;;1;1;1,47;1,48;0,79;0,49;1,022;;;;
03.08.2018 11:44:00;800;2340;0,01;0,01;;2;5;1,52;1,52;0,09;0,04;1,001;;;;
03.08.2018 11:47:00;;;;;;;;;;;;;0,02;1,12;850;3850
03.08.2018 11:52:00;;;;;;;;;;;;;0,02;1,11;680;3890
03.08.2018 12:01:00;1000;2230;0,01;0,02;;4;9;1,52;1,49;0,03;0,36;1,016;;;;
03.08.2018 12:23:00;742;2784;0,02;0,01;;0;0;1,53;1,54;0,21;0,11;1,004;;;;
